ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685629175,698045498,1.11897,1.71407,-139.891,-0.97849,0.146876,0.144861,-0.16755,-0.975481,-0.142703,0.12035,-0.163905,0.979109
1685629175,723054942,1.11947,1.71388,-139.891,-0.97849,0.146882,0.144853,-0.167555,-0.97548,-0.1427,0.120341,-0.163901,0.97911
1685629175,748023947,1.12012,1.71567,-139.894,-0.978489,0.146889,0.144853,-0.167567,-0.975473,-0.142739,0.120334,-0.163941,0.979104
1685629175,773081463,1.12126,1.71876,-139.895,-0.978491,0.146883,0.144847,-0.167564,-0.975469,-0.14277,0.120323,-0.16397,0.979099
1685629175,797992128,1.1191,1.71843,-139.896,-0.978488,0.146889,0.144864,-0.167572,-0.975468,-0.142766,0.120339,-0.16397,0.9791
1685629175,823031217,1.11775,1.71823,-139.896,-0.978484,0.1469,0.144876,-0.167583,-0.975468,-0.142751,0.120351,-0.163958,0.979098
1685629175,848038846,1.11756,1.71581,-139.893,-0.978483,0.146907,0.144876,-0.167586,-0.975472,-0.142723,0.120356,-0.163931,0.979103
1685629175,873044241,1.11672,1.71673,-139.894,-0.978481,0.146906,0.144888,-0.167589,-0.97547,-0.14273,0.120366,-0.163941,0.979099
1685629175,898029342,1.11595,1.71719,-139.895,-0.978481,0.146902,0.144899,-0.167587,-0.975469,-0.142738,0.120376,-0.163949,0.979099
1685629175,922973792,1.00315,2.18732,-140.086,-0.978728,0.145448,0.144693,-0.166491,-0.975189,-0.145901,0.119882,-0.166887,0.978663
1685629175,947968678,0.719497,3.15697,-139.915,-0.978954,0.14547,0.143134,-0.166211,-0.975284,-0.145587,0.118418,-0.166313,0.978938
1685629175,972981755,0.434937,4.04942,-139.658,-0.979139,0.146189,0.14112,-0.166464,-0.975394,-0.144557,0.116515,-0.165033,0.979382
1685629175,997983130,0.0637336,4.58226,-139.174,-0.979005,0.149104,0.138987,-0.168408,-0.975809,-0.139409,0.114838,-0.159889,0.980433
1685629176,22981324,-0.352158,5.15454,-138.817,-0.978717,0.152568,0.137247,-0.170993,-0.976072,-0.134329,0.113468,-0.154938,0.981387
1685629176,47969368,-0.727662,5.89585,-138.583,-0.978548,0.155068,0.135636,-0.172931,-0.976091,-0.131685,0.111973,-0.152315,0.981971
1685629176,72992786,-1.0711,6.67884,-138.409,-0.978399,0.157347,0.134083,-0.174774,-0.975989,-0.129999,0.110409,-0.150625,0.982407
1685629176,97937785,-1.36255,7.25478,-138.186,-0.978163,0.160156,0.132469,-0.177005,-0.975973,-0.127064,0.108936,-0.147737,0.983009
1685629176,122930822,-1.60519,7.87097,-137.933,-0.977881,0.163099,0.130951,-0.17933,-0.976,-0.123548,0.107658,-0.144298,0.983661
1685629176,147038107,-1.85955,8.52282,-137.633,-0.977738,0.165566,0.128903,-0.181182,-0.97602,-0.120655,0.105835,-0.141324,0.984291
1685629176,172947032,-2.20647,9.25346,-137.303,-0.977652,0.167695,0.126787,-0.182726,-0.976055,-0.118012,0.103961,-0.138542,0.984883
1685629176,197102303,-2.60029,9.94751,-136.977,-0.977371,0.170731,0.124888,-0.185045,-0.976128,-0.113718,0.102491,-0.134254,0.985631
1685629176,222960479,-2.85139,10.6996,-136.802,-0.977098,0.173269,0.123523,-0.187125,-0.976033,-0.111101,0.101312,-0.131671,0.986102
1685629176,247907860,-3.18068,11.5446,-136.614,-0.976866,0.175605,0.122049,-0.18904,-0.975912,-0.1089,0.0999855,-0.129453,0.986533
1685629176,272042033,-3.46725,12.367,-136.438,-0.976763,0.177436,0.120212,-0.190467,-0.975814,-0.107282,0.0982694,-0.127686,0.986934
1685629176,297904002,-3.68609,13.0406,-136.22,-0.976673,0.179354,0.118077,-0.191874,-0.975799,-0.104884,0.096408,-0.125094,0.987451
1685629176,321996881,-3.93669,13.6679,-136.011,-0.97647,0.181644,0.116244,-0.193629,-0.975784,-0.10175,0.0949467,-0.121864,0.987995
1685629176,347009425,-4.24206,14.3077,-135.836,-0.976194,0.184135,0.114631,-0.195615,-0.975718,-0.0985356,0.093704,-0.118613,0.988511
1685629176,372002809,-4.50964,15.0395,-135.675,-0.975989,0.186157,0.113097,-0.197249,-0.975607,-0.096354,0.0924012,-0.116349,0.988904
1685629176,396929077,-4.80685,15.7717,-135.51,-0.975714,0.188559,0.111482,-0.199204,-0.975482,-0.0935606,0.0911075,-0.113496,0.989354
1685629176,421938560,-5.06833,16.4152,-135.291,-0.975478,0.190863,0.109605,-0.200975,-0.975449,-0.0900455,0.0897275,-0.109865,0.989887
1685629176,446993638,-5.29711,17.1141,-135.104,-0.975274,0.192855,0.107923,-0.202536,-0.975375,-0.0873051,0.0884281,-0.107005,0.99032
