ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685105476,178342286,15.1605,12.8977,-189.176,-0.209847,-0.23389,-0.949347,0.147821,-0.967395,0.205661,-0.966496,-0.0971761,0.23758
1685105476,203318736,15.164,12.893,-189.179,-0.209804,-0.233984,-0.949334,0.147976,-0.967358,0.205723,-0.966482,-0.0973166,0.237583
1685105476,228288782,15.1597,12.8944,-189.181,-0.209851,-0.233965,-0.949327,0.148021,-0.967358,0.205689,-0.966464,-0.097356,0.237632
1685105476,253301218,15.1575,12.8934,-189.182,-0.209886,-0.233961,-0.949321,0.148043,-0.967358,0.205676,-0.966453,-0.0973716,0.237672
1685105476,278314280,15.1557,12.8918,-189.182,-0.209908,-0.234,-0.949307,0.14807,-0.967347,0.205706,-0.966444,-0.0973847,0.237703
1685105476,303331295,15.1585,12.8896,-189.185,-0.209857,-0.234039,-0.949308,0.147984,-0.967346,0.205773,-0.966468,-0.0972995,0.237638
1685105476,328245179,15.1622,12.889,-189.19,-0.209829,-0.234034,-0.949316,0.14807,-0.967338,0.205749,-0.966461,-0.0973927,0.23763
1685105476,353340623,15.1569,12.8939,-189.191,-0.209918,-0.233992,-0.949305,0.148092,-0.967347,0.205692,-0.966438,-0.097406,0.237715
1685105476,378368590,15.1602,12.8968,-189.195,-0.209891,-0.233965,-0.94932,0.148037,-0.967358,0.205681,-0.966454,-0.0973634,0.237677
1685105476,403343313,15.1582,12.8961,-189.197,-0.209927,-0.233982,-0.949307,0.148113,-0.967347,0.205676,-0.966434,-0.0974276,0.237729
1685105476,428370661,15.1562,12.8912,-189.203,-0.209952,-0.234029,-0.94929,0.14816,-0.967333,0.205709,-0.966421,-0.0974573,0.237768
1685105476,453360380,15.1534,12.8966,-189.204,-0.209968,-0.233947,-0.949308,0.148002,-0.967367,0.205662,-0.966443,-0.0973165,0.237745
1685105476,478311174,15.1521,12.898,-189.208,-0.209981,-0.233956,-0.949301,0.148026,-0.967363,0.205664,-0.966435,-0.0973356,0.237759
1685105476,503325954,15.1521,12.9025,-189.205,-0.209984,-0.233913,-0.949312,0.148096,-0.967365,0.205603,-0.966425,-0.097415,0.237775
1685105476,528352974,15.1567,12.912,-189.213,-0.209921,-0.23381,-0.949351,0.147996,-0.967396,0.205529,-0.966453,-0.0973547,0.23768
1685105476,553335322,15.1565,12.9121,-189.209,-0.20994,-0.233791,-0.949352,0.147943,-0.967406,0.205521,-0.966457,-0.0973028,0.237687
1685105476,578334387,15.1558,12.9113,-189.21,-0.209947,-0.233785,-0.949351,0.147887,-0.967413,0.205528,-0.966464,-0.0972465,0.23768
1685105476,603423573,15.1592,12.9123,-189.212,-0.209891,-0.233789,-0.949363,0.147965,-0.967403,0.205519,-0.966465,-0.0973355,0.237644
1685105476,628324861,15.1569,12.9085,-189.211,-0.209891,-0.233817,-0.949355,0.147987,-0.967395,0.205542,-0.96646,-0.097351,0.237649
1685105476,653208010,15.1617,12.9109,-189.212,-0.209851,-0.233804,-0.949368,0.148013,-0.967394,0.205526,-0.966465,-0.0973886,0.237615
1685105476,678300138,15.1672,12.9107,-189.212,-0.209811,-0.23379,-0.94938,0.148039,-0.967394,0.205509,-0.96647,-0.0974274,0.23758
