ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685102266,892738260,16.7567,6.49802,-205.172,-0.23078,-0.22783,-0.945957,0.132603,-0.970494,0.201389,-0.963928,-0.0789597,0.254183
1685102266,917628704,16.7566,6.49351,-205.173,-0.230795,-0.227873,-0.945943,0.132681,-0.970479,0.201412,-0.963914,-0.0790235,0.254216
1685102266,942618476,16.7574,6.49175,-205.174,-0.230754,-0.227908,-0.945945,0.132684,-0.97047,0.20145,-0.963924,-0.079026,0.254181
1685102266,967671346,16.7615,6.4937,-205.175,-0.230685,-0.227876,-0.945968,0.132595,-0.970483,0.201446,-0.963951,-0.0789607,0.25409
1685102266,992574964,16.7608,6.49173,-205.171,-0.230701,-0.227902,-0.945959,0.132625,-0.970476,0.201464,-0.963944,-0.0789797,0.254117
1685102267,17506112,16.7549,6.49277,-205.175,-0.230774,-0.227904,-0.945941,0.132704,-0.97047,0.201439,-0.963916,-0.0790433,0.254205
1685102267,42506092,16.7572,6.49565,-205.181,-0.230748,-0.227891,-0.945951,0.13271,-0.970472,0.201426,-0.963922,-0.0790584,0.25418
1685102267,67492687,16.755,6.50132,-205.18,-0.23079,-0.227849,-0.945949,0.132784,-0.970475,0.20136,-0.9639,-0.0791355,0.25423
1685102267,92474036,16.7507,6.50706,-205.179,-0.230862,-0.22779,-0.945947,0.132801,-0.970488,0.201289,-0.963882,-0.0791527,0.254301
1685102267,117471158,16.7497,6.50197,-205.186,-0.230843,-0.227851,-0.945937,0.13273,-0.97048,0.201372,-0.963896,-0.0790689,0.254272
1685102267,142425000,16.7507,6.50113,-205.185,-0.230853,-0.227861,-0.945932,0.132753,-0.970477,0.201375,-0.963891,-0.079087,0.254289
1685102267,167468271,16.7477,6.50796,-205.185,-0.230882,-0.227807,-0.945937,0.132762,-0.970488,0.201315,-0.963882,-0.0791042,0.254313
1685102267,192454530,16.7428,6.51141,-205.187,-0.230942,-0.227771,-0.945931,0.132784,-0.970495,0.201268,-0.963864,-0.0791237,0.254372
1685102267,217435662,16.743,6.51059,-205.184,-0.23097,-0.227773,-0.945925,0.132809,-0.970493,0.20126,-0.963855,-0.0791424,0.254407
1685102267,242445583,16.7401,6.50883,-205.183,-0.230988,-0.227802,-0.945914,0.132846,-0.970484,0.201279,-0.963846,-0.0791673,0.254435
1685102267,267425630,16.7413,6.50711,-205.186,-0.230962,-0.227842,-0.94591,0.132912,-0.970469,0.201305,-0.963843,-0.0792288,0.254426
1685102267,292389215,16.7402,6.49979,-205.182,-0.23096,-0.227925,-0.94589,0.132909,-0.970452,0.201391,-0.963843,-0.0792044,0.254428
1685102267,317388271,16.7412,6.49955,-205.182,-0.230941,-0.22791,-0.9459,0.13283,-0.970461,0.201398,-0.963859,-0.0791324,0.254396
1685102267,342372000,16.7415,6.49974,-205.183,-0.230919,-0.227893,-0.945908,0.132765,-0.97047,0.201399,-0.963873,-0.0790767,0.254357
1685102267,367352241,16.7412,6.49476,-205.181,-0.2309,-0.227945,-0.9459,0.132722,-0.970462,0.201466,-0.963883,-0.079023,0.254333
1685102267,392339566,16.7378,6.49625,-205.181,-0.230889,-0.227948,-0.945901,0.132675,-0.970465,0.201483,-0.963892,-0.0789775,0.254312
1685102267,417349142,16.7368,6.49554,-205.186,-0.23092,-0.227965,-0.945891,0.132767,-0.970454,0.201473,-0.963872,-0.0790593,0.254365
1685102267,442343363,16.732,6.49463,-205.191,-0.230954,-0.228002,-0.945872,0.132797,-0.970444,0.2015,-0.963859,-0.0790721,0.254405
1685102267,467361078,16.729,6.49734,-205.191,-0.230965,-0.22799,-0.945873,0.132821,-0.970445,0.20148,-0.963854,-0.0790971,0.254422
1685102267,492411685,16.7293,6.49552,-205.186,-0.230966,-0.228011,-0.945868,0.132832,-0.97044,0.201499,-0.963853,-0.0791018,0.254427
1685102267,516342990,16.7287,6.49624,-205.191,-0.230975,-0.227997,-0.945869,0.132799,-0.970446,0.201493,-0.963854,-0.0790709,0.254426
1685102267,541414127,16.727,6.49757,-205.191,-0.230996,-0.227994,-0.945865,0.132831,-0.970444,0.201479,-0.963846,-0.0790995,0.254455
1685102267,566358490,16.7243,6.49784,-205.19,-0.231021,-0.227999,-0.945857,0.132874,-0.97044,0.201471,-0.963833,-0.0791357,0.254486
1685102267,592257447,16.7251,6.5058,-205.191,-0.231038,-0.227934,-0.945869,0.132873,-0.970454,0.201403,-0.963829,-0.0791492,0.254498
1685102267,616335568,16.7255,6.50336,-205.192,-0.231032,-0.227982,-0.945859,0.132916,-0.970441,0.201441,-0.963824,-0.07918,0.254505
1685102267,641317842,16.729,6.50463,-205.19,-0.23103,-0.227971,-0.945862,0.132958,-0.970439,0.201419,-0.96382,-0.0792261,0.254513
1685102267,666321521,16.7292,6.50215,-205.188,-0.231032,-0.227992,-0.945857,0.13294,-0.970436,0.201445,-0.963822,-0.0792015,0.254513
1685102267,691352932,16.7313,6.50422,-205.186,-0.230993,-0.22795,-0.945876,0.132809,-0.970455,0.20144,-0.963848,-0.0790897,0.254442
1685102267,716338996,16.7382,6.50133,-205.185,-0.230961,-0.228011,-0.945869,0.133043,-0.970423,0.201443,-0.963824,-0.0793158,0.254467
1685102267,741329097,16.7369,6.50497,-205.187,-0.230948,-0.227994,-0.945876,0.132985,-0.970431,0.201443,-0.963835,-0.0792648,0.254438
1685102267,766301648,16.7412,6.50188,-205.182,-0.230901,-0.228039,-0.945877,0.133002,-0.970419,0.201489,-0.963844,-0.0792796,0.254401
1685102267,791372977,16.7404,6.49902,-205.177,-0.230905,-0.228064,-0.94587,0.132968,-0.970416,0.201523,-0.963848,-0.0792377,0.254399
1685102267,816372811,16.7419,6.49561,-205.177,-0.230888,-0.228095,-0.945867,0.132966,-0.97041,0.201556,-0.963852,-0.0792309,0.254385
1685102267,841366291,16.7474,6.49243,-205.179,-0.230826,-0.228113,-0.945878,0.132926,-0.970408,0.201591,-0.963873,-0.0791987,0.254321
1685102267,866410953,16.7453,6.49629,-205.179,-0.230852,-0.228098,-0.945875,0.13302,-0.970404,0.201548,-0.963854,-0.0792926,0.254363
1685102267,891307936,16.7485,6.49601,-205.18,-0.230804,-0.228089,-0.945889,0.133003,-0.970406,0.201548,-0.963867,-0.0792881,0.25431
1685102267,916245496,16.7489,6.49217,-205.178,-0.230791,-0.228117,-0.945885,0.132907,-0.970408,0.201603,-0.963884,-0.0791861,0.254282
1685102267,941256749,16.7474,6.48317,-205.178,-0.230807,-0.228222,-0.945856,0.132913,-0.970386,0.201707,-0.96388,-0.0791611,0.254307
1685102267,966354286,16.7482,6.48357,-205.177,-0.230784,-0.228215,-0.945864,0.132907,-0.970387,0.201704,-0.963886,-0.0791612,0.254284
1685102267,991238572,16.7505,6.48402,-205.177,-0.230761,-0.228204,-0.945872,0.132903,-0.97039,0.201695,-0.963892,-0.0791653,0.25426
1685102268,16153082,16.751,6.48306,-205.18,-0.230759,-0.228211,-0.94587,0.132891,-0.970389,0.201706,-0.963893,-0.0791526,0.254253
1685102268,41157354,16.7538,6.48465,-205.187,-0.230727,-0.228182,-0.945885,0.132904,-0.970394,0.201676,-0.9639,-0.0791794,0.254223
1685102268,66157462,16.7499,6.48944,-205.186,-0.230791,-0.22816,-0.945876,0.133081,-0.970385,0.201601,-0.96386,-0.0793502,0.254323
1685102268,91140582,16.7438,6.48933,-205.181,-0.230833,-0.228149,-0.945867,0.132994,-0.970395,0.201609,-0.963861,-0.0792567,0.254342
1685102268,116181367,16.7423,6.48798,-205.179,-0.230843,-0.228161,-0.945862,0.132964,-0.970395,0.201628,-0.963864,-0.079221,0.254349
1685102268,141154053,16.7429,6.48464,-205.178,-0.230842,-0.228186,-0.945857,0.132967,-0.970389,0.201653,-0.963864,-0.0792178,0.25435
1685102268,166146518,16.7445,6.48803,-205.179,-0.23084,-0.228172,-0.94586,0.132991,-0.970391,0.201632,-0.963861,-0.079246,0.254351
1685102268,191104966,16.7378,6.49332,-205.178,-0.230886,-0.228128,-0.945859,0.132928,-0.970406,0.201601,-0.963858,-0.0791843,0.254378
1685102268,216135664,16.7362,6.49314,-205.171,-0.230953,-0.228113,-0.945847,0.133014,-0.970403,0.201557,-0.963831,-0.0792605,0.254462
1685102268,241101079,16.7375,6.49321,-205.175,-0.230935,-0.228146,-0.945843,0.13305,-0.970393,0.201583,-0.96383,-0.0792919,0.254454
1685102268,266092709,16.7358,6.50334,-205.174,-0.230943,-0.228045,-0.945866,0.13295,-0.970423,0.201504,-0.963842,-0.0792161,0.254434
1685102268,291067371,16.7356,6.5095,-205.173,-0.230946,-0.227985,-0.945878,0.132855,-0.970443,0.201468,-0.963853,-0.0791362,0.254408
1685102268,316051838,16.7358,6.50681,-205.175,-0.230957,-0.22803,-0.945866,0.132938,-0.970427,0.201491,-0.96384,-0.0792052,0.254442
1685102268,341077085,16.7373,6.5075,-205.176,-0.230925,-0.228024,-0.945875,0.132838,-0.970436,0.201514,-0.963861,-0.0791129,0.25439
